Équipe,Ligue,Last_5_FT_Goals,Last_5_MT_Goals,Form_Score,Form_Last_5_Str,Prochain_Match,FT Marque_Record,FT Marque_Annee_Record,FT Marque_EnCours,FT CS_Record,FT CS_Annee_Record,FT CS_EnCours,FT No CS_Record,FT No CS_Annee_Record,FT No CS_EnCours,FT -0.5_Record,FT -0.5_Annee_Record,FT -0.5_EnCours,FT +1.5_Record,FT +1.5_Annee_Record,FT +1.5_EnCours,FT -1.5_Record,FT -1.5_Annee_Record,FT -1.5_EnCours,FT +2.5_Record,FT +2.5_Annee_Record,FT +2.5_EnCours,FT -2.5_Record,FT -2.5_Annee_Record,FT -2.5_EnCours,FT +3.5_Record,FT +3.5_Annee_Record,FT +3.5_EnCours,FT -3.5_Record,FT -3.5_Annee_Record,FT -3.5_EnCours,FT Nuls_Record,FT Nuls_Annee_Record,FT Nuls_EnCours,MT +0.5_Record,MT +0.5_Annee_Record,MT +0.5_EnCours,MT -0.5_Record,MT -0.5_Annee_Record,MT -0.5_EnCours,MT +1.5_Record,MT +1.5_Annee_Record,MT +1.5_EnCours,MT -1.5_Record,MT -1.5_Annee_Record,MT -1.5_EnCours
Leyton Orient,E2,"4, 1, 1, 5, 3","2, 0, 0, 4, 1",7.3999999999999995,"V, D, V, D, V",N/A,21,2013,3,6,2024,0,17,2017,2,2,2022,0,19,2017,2,6,2024,0,9,2011,2,10,2022,0,4,2014,0,19,2023,1,4,2023,0,19,2017,2,6,2023,0,5,2019,0,15,2016,1
Lincoln,E2,"1, 1, 0, 3, 3","0, 0, 0, 2, 1",4.6,"V, D, N, D, V",N/A,26,2019,1,4,2024,0,22,2011,2,2,2024,0,17,2016,2,4,2025,0,9,2015,2,10,2019,0,6,2016,0,31,2023,7,4,2023,0,24,2016,2,4,2025,0,7,2014,0,16,2012,1
Luton,E2,"2, 2, 1, 3, 0","0, 1, 0, 2, 0",12.6,"N, V, V, D, D",N/A,18,2024,0,5,2014,3,19,2020,0,2,2013,1,22,2024,0,4,2016,1,12,2019,0,8,2016,1,4,2013,0,16,2021,5,4,2021,1,17,2024,0,6,2013,1,4,2024,0,10,2023,1
Mansfield,E2,"2, 2, 2, 2, 3","1, 1, 1, 1, 1",6.200000000000001,"D, V, N, V, N",N/A,18,2013,8,4,2011,0,13,2025,1,2,2023,0,27,2025,27,4,2016,0,13,2025,1,7,2024,0,5,2025,0,15,2015,10,4,2021,0,18,2024,6,5,2017,0,4,2025,0,18,2021,10
Northampton,E2,"3, 3, 1, 1, 3","1, 1, 0, 0, 1",2.1999999999999997,"V, D, D, V, D",N/A,28,2016,1,5,2022,0,20,2012,5,2,2024,0,15,2020,1,6,2022,0,12,2017,1,9,2025,0,4,2019,0,24,2023,14,6,2011,0,13,2015,1,5,2021,0,7,2011,0,17,2023,10
Peterboro,E2,"3, 3, 1, 3, 5","1, 3, 0, 2, 3",9.0,"V, D, V, D, D",N/A,23,2024,4,5,2013,1,26,2025,0,1,2025,0,29,2016,2,4,2013,0,10,2014,2,10,2015,0,4,2022,1,22,2015,0,4,2018,0,19,2024,2,5,2021,0,6,2024,2,13,2020,0
Plymouth,E2,"2, 3, 2, 2, 4","0, 2, 1, 1, 1",-8.200000000000001,"D, D, D, D, N",N/A,19,2022,1,6,2022,0,17,2010,5,2,2015,0,17,2019,6,5,2014,0,9,2016,1,9,2012,0,4,2016,1,23,2016,0,3,2025,0,18,2020,4,5,2013,0,6,2021,0,16,2017,3
Port Vale,E2,"2, 1, 3, 4, 0","0, 0, 3, 2, 0",-2.2,"N, D, D, D, N",N/A,14,2021,0,5,2021,1,14,2014,0,2,2025,1,18,2011,0,5,2019,1,7,2012,0,7,2024,1,4,2025,0,17,2019,1,5,2013,1,16,2015,0,7,2011,1,5,2011,0,12,2019,1
Reading,E2,"2, 3, 1, 2, 1","2, 1, 0, 0, 1",11.0,"V, N, V, D, N",N/A,22,2024,13,5,2012,1,19,2023,0,2,2019,0,16,2024,0,4,2021,1,11,2021,0,7,2024,3,4,2021,0,19,2023,8,5,2010,0,14,2024,1,7,2011,0,5,2023,0,23,2025,4
Rotherham,E2,"1, 1, 4, 3, 0","0, 0, 0, 2, 0",15.0,"N, V, N, V, V",N/A,24,2018,0,6,2022,2,23,2017,0,2,2023,1,18,2023,0,4,2021,1,11,2019,0,10,2021,1,4,2018,0,19,2022,2,5,2019,1,16,2025,0,5,2024,1,6,2011,0,17,2012,1
Stevenage,E2,"5, 2, 1, 2, 1","2, 0, 0, 2, 1",0.20000000000000062,"D, N, D, V, V",N/A,17,2012,0,6,2021,0,13,2015,3,3,2019,0,12,2017,0,5,2024,1,6,2020,0,7,2023,4,4,2018,0,20,2024,4,5,2012,0,14,2017,2,5,2019,0,5,2014,0,25,2020,1
Stockport,E2,"3, 1, 1, 3, 3","1, 0, 1, 3, 2",12.200000000000001,"D, V, V, V, V",N/A,34,2022,0,5,2022,0,20,2011,1,2,2024,0,20,2011,2,5,2021,0,6,2023,2,13,2011,0,4,2012,0,15,2025,8,3,2024,0,11,2025,3,5,2021,0,5,2024,2,10,2023,0
Wigan,E2,"2, 1, 1, 2, 2","0, 1, 0, 1, 1",5.0,"N, N, V, D, N",N/A,31,2022,3,7,2020,0,15,2023,2,3,2024,0,19,2022,2,4,2019,0,7,2019,0,10,2025,6,6,2013,0,26,2025,6,4,2019,2,13,2013,2,5,2025,0,5,2011,0,15,2023,6
